Name, Rating, Price, Number of Reviews, Keywords, Phone Number, Address
Cafe Murmurs,,$,,['Desserts'; 'Sandwiches'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
Panini Kabob Grill,4,$$,1454,['Mediterranean'],(213) 489-4200,600 W 9th St; Downtown
Simpang Asia,4,$$,1544,['Indonesian'; 'Malaysian'; 'Halal'],(310) 815-9075,10433 National Blvd; Palms
Fugetsu-Do,4.5,$,636,['Candy Stores'; 'Bakeries'; 'Desserts'],(213) 625-8595,315 E 1st St; Little Tokyo
PASTA e PASTA by Allegro,4.5,$$,800,['Italian'; 'Japanese'],(213) 265-7003,432 E 2nd St; Little Tokyo
Cafe Beaujolais,4.5,$$,1417,['French'],(323) 255-5111,1712 Colorado Blvd; Eagle Rock
Myungrang Hot Dog-California Market LA,4.5,$,800,['Hot Dogs'],(213) 375-7518,450 S Western Ave; Koreatown
India’s Tandoori,4,$$,1372,['Indian'; 'Halal'; 'Buffets'],(323) 936-2050,5468 Wilshire Blvd; Mid-Wilshire
Redbird,4,$$$,1415,['Cocktail Bars'; 'American (New)'],(213) 788-1191,114 E 2nd St; Downtown
Griffith Park,4.5,Parks,639,['Parks'],(323) 913-4688,4730 Crystal Springs Dr; Griffith Park
Badmaash - Downtown LA,4,$$,1814,['Indian'; 'American (New)'],(213) 221-7466,108 W 2nd St; Downtown
